Id,SalePrice
1461,116464.92212346509
1462,146224.3896955217
1463,168950.11262949088
1464,197376.831158723
1465,192292.32679991474
1466,176263.3441565701
1467,197332.3601352254
1468,171792.15159158406
1469,192787.7360284558
1470,114686.49590074648
1471,203363.69579424494
1472,116889.23407495843
1473,109063.12458996664
1474,166217.07108102128
1475,128478.87280284033
1476,336521.74545013707
1477,238854.65804133296
1478,283369.4859361228
1479,270596.81500977237
1480,457187.6967031368
1481,306318.0028407191
1482,213883.25718616863
1483,173093.511664922
1484,175875.1348981342
1485,199177.85305509082
1486,202545.52412582393
1487,309430.2460847189
1488,246156.91342191157
1489,174503.88696297404
1490,214455.80379132734
1491,196604.6279876161
1492,94655.89539250427
1493,210732.25382098625
1494,293738.36380692926
1495,285067.9793872503
1496,218911.9161256779
1497,172802.86800441134
1498,161073.00962923013
1499,170745.05519371625
1500,158302.64082052102
1501,168296.80717467557
1502,156137.9856074639
1503,260803.45012924747
1504,241703.91018274857
1505,219216.12783740603
1506,196215.50267572133
1507,239120.12898351703
1508,188041.28491187998
1509,159993.33457446942
1510,139327.56129970582
1511,136434.24752746293
1512,171941.54587849375
1513,152121.85999724912
1514,157078.01232332297
1515,202203.01063044425
1516,151750.10810655993
1517,170607.22463927165
1518,132878.3431356393
1519,216452.0892786295
1520,120189.47091944976
1521,115948.72597350052
1522,182068.23005017813
1523,98420.86813228647
1524,112841.00443217825
1525,110170.44878593892
1526,112938.19201982654
1527,103101.43106221134
1528,152612.9731259993
1529,133517.0133197438
1530,214001.03297888587
1531,115402.18430654454
1532,105283.84836444657
1533,150640.03307476838
1534,128662.75594323939
1535,145152.01616957693
1536,106387.9977699021
1537,70026.39939971903
1538,172124.44993463717
1539,201174.67656485172
1540,98410.97022992974
1541,141280.76182514115
1542,131856.92371305262
1543,176175.37682075764
1544,95565.07538718109
1545,122435.15159996648
1546,138703.4253048996
1547,135218.26257792683
1548,134099.4717670209
1549,119089.21801882029
1550,126556.03329873401
1551,117924.31534897245
1552,122838.15723179636
1553,141267.63462589556
1554,125744.95646221307
1555,153035.7724163099
1556,88187.18384874365
1557,97582.90381595977
1558,101735.4564949437
1559,74446.41815929727
1560,130396.36649962554
1561,117702.30937700772
1562,129739.3435232786
1563,113164.92028070209
1564,158934.87777212658
1565,146789.26688124146
1566,234964.43416661053
1567,83931.5937913723
1568,209870.58235839792
1569,108419.34167856206
1570,144719.28069943597
1571,120536.85762992267
